HourUTC;HourDK;CentralPowerMWhDK1;CommercialPowerMWhDK1;HydroPowerMWhDK1;LocalPowerMWhDK1;LocalPowerSelfConMWhDK1;OffshoreWindGe100MW_MWhDK1;OffshoreWindLt100MW_MWhDK1;OnshoreWindGe50kW_MWhDK1;OnshoreWindLt50kW_MWhDK1;SolarPowerGe10Lt40kW_MWhDK1;SolarPowerGe40kW_MWhDK1;SolarPowerLt10kW_MWhDK1;SolarPowerSelfConMWhDK1;UnknownProdMWhDK1;GrossConsumptionMWhDK1;PowerToHeatMWhDK1;GridLossTransmissionMWhDK1;DK1_EUR/MWh
2024-01-01 00:00:00;2024-01-01 01:00:00;207,753478;65,817957;4,297089;72,366501;16,297205;1016,547643;160,264305;1171,725780;4,763256;0,015406;0,109633;0,065358;0,000000;0,000000;2600,621879;607,189159;101,183576;28,139999
2024-01-01 01:00:00;2024-01-01 02:00:00;197,397973;72,703750;4,284147;76,079952;16,664432;978,556408;169,654225;1081,751834;4,152061;0,007610;0,143087;0,069184;0,000000;0,000002;2765,984289;815,654363;103,478340;26,660000
2024-01-01 02:00:00;2024-01-01 03:00:00;185,040506;62,624765;4,348457;48,156644;15,688786;975,579656;181,423108;1040,012819;4,147947;0,005733;0,154151;0,063852;0,000000;0,000001;2952,482372;1008,438223;109,501109;4,140000
2024-01-01 03:00:00;2024-01-01 04:00:00;183,982426;62,393425;4,376897;52,366440;8,269605;620,312896;165,446618;938,923677;3,656002;0,004915;0,123662;0,057894;0,000000;0,000002;2940,747997;1032,182207;103,940501;-0,030000
2024-01-01 04:00:00;2024-01-01 05:00:00;184,075461;62,966389;4,372125;49,061961;8,191070;605,544954;180,063979;933,508090;3,462188;0,007505;0,183062;0,062304;0,000000;0,000002;2958,059300;1065,343862;100,465063;-0,020000
2024-01-01 05:00:00;2024-01-01 06:00:00;187,070980;70,298551;4,360985;54,495557;7,980511;545,686284;178,025483;1013,799144;3,692090;0,009957;0,140350;0,083696;0,000000;0,000001;2943,865063;1036,266053;103,947825;-0,050000
2024-01-01 06:00:00;2024-01-01 07:00:00;195,830447;70,653883;4,346284;57,417623;8,467289;593,537037;165,307558;1080,904295;4,129905;0,009307;0,135390;0,100755;0,000000;0,000002;2924,453283;966,967634;103,100137;-0,020000
2024-01-01 07:00:00;2024-01-01 08:00:00;191,860326;71,224239;4,350671;51,137802;8,232643;540,096785;124,333762;1105,371851;4,475163;0,006178;0,161558;0,101008;0,000000;0,000003;2879,306016;845,751833;107,984438;0,000000
2024-01-01 08:00:00;2024-01-01 09:00:00;194,244690;73,628463;4,348017;54,189121;9,143452;874,085163;172,901263;1141,774093;4,977749;0,018086;7,518433;0,124646;0,383058;0,000003;2930,110629;797,670083;115,223863;0,080000
2024-01-01 09:00:00;2024-01-01 10:00:00;263,283207;76,620567;4,350659;88,701862;16,202431;842,083387;132,256724;1152,538401;5,038373;0,054691;20,498893;0,391699;5,082677;0,000002;2835,562151;617,821506;85,529880;41,340000
2024-01-01 10:00:00;2024-01-01 11:00:00;277,166642;78,325498;4,366762;99,764056;18,171072;748,994172;131,919352;1136,445861;5,001734;0,122438;32,936947;0,976815;6,578840;0,000001;2842,665934;550,791879;81,997769;43,509998
2024-01-01 11:00:00;2024-01-01 12:00:00;301,477438;80,360309;4,405723;99,965318;17,137977;622,171824;109,566507;1106,000337;5,073446;0,134779;45,618082;1,099866;11,343903;0,000000;2818,300698;488,225706;80,874897;43,020000
