valid_time,latitude,longitude,u10,v10,sst,number,expver,tp,mwd,mwp,swh,mdts,mdww,mpts,mpww,wmb,pp1d,shts,shww
2022-01-01 00:00:00,41.5,-9.0,-3.25,9.87,287.68,0,0001,0.0,226.22,8.39,2.78,249.8,173.59,10.15,4.94,117.0,11.75,2.26,1.62
2022-01-01 01:00:00,41.5,-9.0,-3.27,9.74,287.68,0,0001,0.0,227.1,8.5,2.81,248.79,172.58,10.13,4.94,117.0,11.74,2.32,1.58
2022-01-01 02:00:00,41.5,-9.0,-3.26,9.74,287.68,0,0001,0.0,228.4,8.65,2.85,248.56,172.81,10.23,4.94,117.0,11.79,2.39,1.56
2022-01-01 03:00:00,41.5,-9.0,-3.16,9.81,287.68,0,0001,0.0,229.91,8.83,2.92,249.76,175.52,10.46,5.05,117.0,11.88,2.44,1.6
2022-01-01 04:00:00,41.5,-9.0,-3.18,9.78,287.68,0,0001,0.0,231.41,9.04,3.02,250.1,175.3,10.65,5.04,117.0,12.03,2.55,1.62
2022-01-01 05:00:00,41.5,-9.0,-2.7,9.44,287.68,0,0001,0.0,233.5,9.29,3.11,249.87,174.6,10.78,4.94,117.0,12.23,2.69,1.57
2022-01-01 06:00:00,41.5,-9.0,-2.29,8.96,287.68,0,0001,0.0,236.13,9.58,3.21,250.13,174.7,10.92,4.91,117.0,12.47,2.83,1.51
2022-01-01 07:00:00,41.5,-9.0,-2.02,8.44,287.68,0,0001,0.0,238.8,9.88,3.28,249.86,173.14,11.0,4.75,117.0,12.74,2.98,1.38
2022-01-01 08:00:00,41.5,-9.0,-1.58,7.92,287.68,0,0001,0.0,241.1,10.15,3.35,250.2,172.8,11.11,4.65,117.0,12.93,3.09,1.29
2022-01-01 09:00:00,41.5,-9.0,-0.99,7.61,287.68,0,0001,0.0,242.91,10.37,3.41,250.62,173.1,11.22,4.55,117.0,13.01,3.18,1.22
2022-01-01 10:00:00,41.5,-9.0,-1.05,6.48,287.68,0,0001,0.0,245.22,10.63,3.42,247.73,174.31,10.96,3.55,117.0,13.05,3.34,0.72
