target,lead_h,variable,lag,corr
swh,1,u10,6,0.37
swh,1,v10,36,0.33
swh,1,sst,0,0.26
swh,1,mwd,26,0.28
swh,1,mwp,0,0.55
swh,1,swh,0,1.0
swh,1,mdts,23,0.28
swh,1,mdww,5,0.15
swh,1,mpts,1,0.73
swh,1,mpww,2,0.57
swh,1,pp1d,0,0.52
swh,1,shts,0,0.91
swh,1,shww,2,0.65
swh,3,u10,4,0.37
swh,3,v10,34,0.33
swh,3,sst,0,0.26
swh,3,mwd,24,0.28
swh,3,mwp,0,0.54
swh,3,swh,0,0.99
swh,3,mdts,21,0.28
swh,3,mdww,3,0.15
swh,3,mpts,0,0.72
swh,3,mpww,0,0.57
swh,3,pp1d,0,0.52
swh,3,shts,0,0.89
swh,3,shww,0,0.65
swh,6,u10,1,0.37
swh,6,v10,31,0.33
swh,6,sst,0,0.26
swh,6,mwd,21,0.28
swh,6,mwp,0,0.53
swh,6,swh,0,0.96
swh,6,mdts,18,0.28
swh,6,mdww,0,0.15
swh,6,mpts,0,0.71
swh,6,mpww,0,0.56
swh,6,pp1d,0,0.51
swh,6,shts,0,0.87
swh,6,shww,0,0.64
swh,12,u10,0,0.36
swh,12,v10,25,0.33
swh,12,sst,0,0.25
swh,12,mwd,15,0.28
swh,12,mwp,0,0.5
swh,12,swh,0,0.89
swh,12,mdts,12,0.28
swh,12,mdww,0,0.15
swh,12,mpts,0,0.67
swh,12,mpww,0,0.52
swh,12,pp1d,0,0.49
swh,12,shts,0,0.81
swh,12,shww,0,0.6
swh,24,u10,0,0.33
swh,24,v10,13,0.33
swh,24,sst,0,0.24
swh,24,mwd,3,0.28
swh,24,mwp,0,0.43
swh,24,swh,0,0.76
swh,24,mdts,0,0.28
swh,24,mdww,0,0.12
swh,24,mpts,0,0.57
swh,24,mpww,0,0.43
swh,24,pp1d,0,0.42
swh,24,shts,0,0.69
swh,24,shww,0,0.5
swh,48,u10,0,0.25
swh,48,v10,0,0.31
swh,48,sst,0,0.22
swh,48,mwd,0,0.23
swh,48,mwp,0,0.39
swh,48,swh,0,0.58
swh,48,mdts,0,0.23
swh,48,mdww,0,0.04
swh,48,mpts,0,0.47
swh,48,mpww,0,0.26
swh,48,pp1d,0,0.37
swh,48,shts,0,0.57
swh,48,shww,0,0.31
mwp,1,u10,48,0.03
mwp,1,v10,28,0.28
mwp,1,sst,48,0.29
mwp,1,mwd,24,0.21
mwp,1,mwp,0,1.0
mwp,1,swh,5,0.56
mwp,1,mdts,18,0.19
mwp,1,mdww,2,0.25
mwp,1,mpts,0,0.91
mwp,1,mpww,0,0.1
mwp,1,pp1d,0,0.87
mwp,1,shts,0,0.72
mwp,1,shww,0,0.12
mwp,3,u10,48,0.04
mwp,3,v10,26,0.28
mwp,3,sst,48,0.29
mwp,3,mwd,22,0.21
mwp,3,mwp,0,0.98
mwp,3,swh,3,0.56
mwp,3,mdts,16,0.19
mwp,3,mdww,0,0.25
mwp,3,mpts,0,0.9
mwp,3,mpww,0,0.08
mwp,3,pp1d,0,0.86
mwp,3,shts,0,0.71
mwp,3,shww,0,0.1
mwp,6,u10,47,0.04
mwp,6,v10,23,0.28
mwp,6,sst,47,0.29
mwp,6,mwd,19,0.21
mwp,6,mwp,0,0.95
mwp,6,swh,0,0.56
mwp,6,mdts,13,0.19
mwp,6,mdww,0,0.24
mwp,6,mpts,0,0.88
mwp,6,mpww,24,0.06
mwp,6,pp1d,0,0.83
mwp,6,shts,0,0.7
mwp,6,shww,28,0.08
mwp,12,u10,41,0.04
mwp,12,v10,17,0.28
mwp,12,sst,41,0.29
mwp,12,mwd,13,0.21
mwp,12,mwp,0,0.85
mwp,12,swh,0,0.55
mwp,12,mdts,7,0.19
mwp,12,mdww,0,0.21
mwp,12,mpts,0,0.82
mwp,12,mpww,19,0.06
mwp,12,pp1d,0,0.77
mwp,12,shts,0,0.65
mwp,12,shww,22,0.08
mwp,24,u10,29,0.04
mwp,24,v10,5,0.28
mwp,24,sst,30,0.29
mwp,24,mwd,1,0.21
mwp,24,mwp,0,0.69
mwp,24,swh,0,0.48
mwp,24,mdts,0,0.19
mwp,24,mdww,2,0.19
mwp,24,mpts,0,0.69
mwp,24,mpww,6,0.06
mwp,24,pp1d,0,0.64
mwp,24,shts,0,0.56
mwp,24,shww,48,0.08
mwp,48,u10,29,0.04
mwp,48,v10,0,0.25
mwp,48,sst,6,0.29
mwp,48,mwd,0,0.17
mwp,48,mwp,0,0.55
mwp,48,swh,31,0.42
mwp,48,mdts,0,0.15
mwp,48,mdww,2,0.17
mwp,48,mpts,0,0.55
mwp,48,mpww,48,0.07
mwp,48,pp1d,0,0.51
mwp,48,shts,0,0.47
mwp,48,shww,42,0.1
