fold,test_start,test_end,n_train,n_test,MAE,RMSE,MAPE,R2,target,lead_h
1,2026-01-25 13:00:00,2026-02-25 12:00:00,34873,744,0.06,0.08,0.01,0.99,swh,1
2,2026-02-25 13:00:00,2026-03-25 12:00:00,35617,672,0.03,0.05,0.01,0.99,swh,1
3,2026-03-25 13:00:00,2026-04-25 12:00:00,36361,744,0.03,0.05,0.01,1.0,swh,1
4,2026-04-25 13:00:00,2026-05-25 12:00:00,37033,720,0.02,0.03,0.02,1.0,swh,1
5,2026-05-25 13:00:00,2026-06-25 12:00:00,37777,744,0.02,0.03,0.01,1.0,swh,1
6,2026-06-25 13:00:00,2026-07-25 12:00:00,38497,719,0.02,0.02,0.02,1.0,swh,1
1,2026-01-25 13:00:00,2026-02-25 12:00:00,34875,744,0.15,0.21,0.04,0.96,swh,3
2,2026-02-25 13:00:00,2026-03-25 12:00:00,35619,672,0.1,0.15,0.04,0.95,swh,3
3,2026-03-25 13:00:00,2026-04-25 12:00:00,36363,744,0.1,0.13,0.04,0.97,swh,3
4,2026-04-25 13:00:00,2026-05-25 12:00:00,37035,720,0.07,0.09,0.04,0.96,swh,3
5,2026-05-25 13:00:00,2026-06-25 12:00:00,37779,744,0.06,0.08,0.04,0.98,swh,3
6,2026-06-25 13:00:00,2026-07-25 12:00:00,38499,717,0.04,0.06,0.04,0.99,swh,3
1,2026-01-25 13:00:00,2026-02-25 12:00:00,34878,744,0.29,0.38,0.07,0.88,swh,6
2,2026-02-25 13:00:00,2026-03-25 12:00:00,35622,672,0.2,0.28,0.07,0.81,swh,6
3,2026-03-25 13:00:00,2026-04-25 12:00:00,36366,744,0.16,0.22,0.07,0.91,swh,6
4,2026-04-25 13:00:00,2026-05-25 12:00:00,37038,720,0.13,0.17,0.08,0.86,swh,6
5,2026-05-25 13:00:00,2026-06-25 12:00:00,37782,744,0.11,0.15,0.08,0.93,swh,6
6,2026-06-25 13:00:00,2026-07-25 12:00:00,38502,714,0.09,0.12,0.09,0.95,swh,6
1,2026-01-25 13:00:00,2026-02-25 12:00:00,34884,744,0.55,0.69,0.14,0.62,swh,12
2,2026-02-25 13:00:00,2026-03-25 12:00:00,35628,672,0.39,0.53,0.14,0.34,swh,12
3,2026-03-25 13:00:00,2026-04-25 12:00:00,36372,744,0.32,0.42,0.13,0.66,swh,12
4,2026-04-25 13:00:00,2026-05-25 12:00:00,37044,720,0.24,0.3,0.16,0.56,swh,12
5,2026-05-25 13:00:00,2026-06-25 12:00:00,37788,744,0.21,0.27,0.16,0.8,swh,12
6,2026-06-25 13:00:00,2026-07-25 12:00:00,38508,708,0.17,0.22,0.18,0.82,swh,12
1,2026-01-25 13:00:00,2026-02-25 12:00:00,34896,744,0.79,0.99,0.19,0.22,swh,24
2,2026-02-25 13:00:00,2026-03-25 12:00:00,35640,672,0.52,0.67,0.2,-0.05,swh,24
3,2026-03-25 13:00:00,2026-04-25 12:00:00,36384,744,0.48,0.6,0.22,0.3,swh,24
4,2026-04-25 13:00:00,2026-05-25 12:00:00,37056,720,0.34,0.43,0.23,0.09,swh,24
5,2026-05-25 13:00:00,2026-06-25 12:00:00,37800,744,0.35,0.42,0.28,0.51,swh,24
6,2026-06-25 13:00:00,2026-07-25 12:00:00,38520,696,0.33,0.38,0.38,0.49,swh,24
1,2026-01-25 13:00:00,2026-02-25 12:00:00,34909,744,1.14,1.44,0.26,-0.59,swh,48
2,2026-02-25 13:00:00,2026-03-25 12:00:00,35653,672,0.74,0.88,0.3,-0.82,swh,48
3,2026-03-25 13:00:00,2026-04-25 12:00:00,36397,744,0.54,0.72,0.26,0.07,swh,48
4,2026-04-25 13:00:00,2026-05-25 12:00:00,37069,720,0.4,0.51,0.28,-0.34,swh,48
5,2026-05-25 13:00:00,2026-06-25 12:00:00,37813,744,0.51,0.6,0.43,0.02,swh,48
6,2026-06-25 13:00:00,2026-07-25 12:00:00,38533,672,0.56,0.6,0.68,-0.21,swh,48
1,2026-01-25 13:00:00,2026-02-25 12:00:00,34861,744,0.09,0.13,0.01,0.99,mwp,1
2,2026-02-25 13:00:00,2026-03-25 12:00:00,35605,672,0.09,0.13,0.01,0.99,mwp,1
3,2026-03-25 13:00:00,2026-04-25 12:00:00,36349,744,0.09,0.14,0.01,0.99,mwp,1
4,2026-04-25 13:00:00,2026-05-25 12:00:00,37021,720,0.07,0.1,0.01,1.0,mwp,1
5,2026-05-25 13:00:00,2026-06-25 12:00:00,37765,744,0.07,0.1,0.01,1.0,mwp,1
6,2026-06-25 13:00:00,2026-07-25 12:00:00,38485,719,0.07,0.1,0.01,0.99,mwp,1
1,2026-01-25 13:00:00,2026-02-25 12:00:00,34861,744,0.28,0.38,0.03,0.92,mwp,3
2,2026-02-25 13:00:00,2026-03-25 12:00:00,35605,672,0.27,0.38,0.03,0.93,mwp,3
3,2026-03-25 13:00:00,2026-04-25 12:00:00,36349,744,0.27,0.4,0.03,0.93,mwp,3
4,2026-04-25 13:00:00,2026-05-25 12:00:00,37021,720,0.21,0.29,0.03,0.97,mwp,3
5,2026-05-25 13:00:00,2026-06-25 12:00:00,37765,744,0.19,0.27,0.03,0.97,mwp,3
6,2026-06-25 13:00:00,2026-07-25 12:00:00,38485,717,0.18,0.23,0.03,0.95,mwp,3
1,2026-01-25 13:00:00,2026-02-25 12:00:00,34862,744,0.54,0.71,0.05,0.73,mwp,6
2,2026-02-25 13:00:00,2026-03-25 12:00:00,35606,672,0.53,0.7,0.05,0.75,mwp,6
3,2026-03-25 13:00:00,2026-04-25 12:00:00,36350,744,0.52,0.71,0.06,0.77,mwp,6
4,2026-04-25 13:00:00,2026-05-25 12:00:00,37022,720,0.38,0.52,0.05,0.9,mwp,6
5,2026-05-25 13:00:00,2026-06-25 12:00:00,37766,744,0.35,0.49,0.05,0.89,mwp,6
6,2026-06-25 13:00:00,2026-07-25 12:00:00,38486,714,0.3,0.39,0.05,0.84,mwp,6
1,2026-01-25 13:00:00,2026-02-25 12:00:00,34868,744,0.92,1.17,0.09,0.28,mwp,12
2,2026-02-25 13:00:00,2026-03-25 12:00:00,35612,672,0.81,1.09,0.08,0.4,mwp,12
3,2026-03-25 13:00:00,2026-04-25 12:00:00,36356,744,0.89,1.17,0.09,0.4,mwp,12
4,2026-04-25 13:00:00,2026-05-25 12:00:00,37028,720,0.67,0.91,0.08,0.7,mwp,12
5,2026-05-25 13:00:00,2026-06-25 12:00:00,37772,744,0.59,0.81,0.08,0.69,mwp,12
6,2026-06-25 13:00:00,2026-07-25 12:00:00,38492,708,0.63,0.8,0.11,0.31,mwp,12
1,2026-01-25 13:00:00,2026-02-25 12:00:00,34861,744,1.08,1.34,0.11,0.06,mwp,24
2,2026-02-25 13:00:00,2026-03-25 12:00:00,35605,672,0.98,1.28,0.1,0.16,mwp,24
3,2026-03-25 13:00:00,2026-04-25 12:00:00,36349,744,1.32,1.64,0.14,-0.09,mwp,24
4,2026-04-25 13:00:00,2026-05-25 12:00:00,37021,720,1.23,1.58,0.15,0.11,mwp,24
5,2026-05-25 13:00:00,2026-06-25 12:00:00,37765,744,0.96,1.17,0.13,0.3,mwp,24
6,2026-06-25 13:00:00,2026-07-25 12:00:00,38485,696,0.93,1.19,0.16,-0.51,mwp,24
1,2026-01-25 13:00:00,2026-02-25 12:00:00,34861,744,1.11,1.35,0.11,0.03,mwp,48
2,2026-02-25 13:00:00,2026-03-25 12:00:00,35605,672,1.05,1.39,0.11,0.03,mwp,48
3,2026-03-25 13:00:00,2026-04-25 12:00:00,36349,744,1.44,1.75,0.16,-0.08,mwp,48
4,2026-04-25 13:00:00,2026-05-25 12:00:00,37021,720,1.38,1.73,0.16,-0.06,mwp,48
5,2026-05-25 13:00:00,2026-06-25 12:00:00,37765,744,1.11,1.33,0.15,-0.03,mwp,48
6,2026-06-25 13:00:00,2026-07-25 12:00:00,38485,672,0.93,1.21,0.16,-0.55,mwp,48
