target,lead_h,MAE,RMSE,NRMSE,SMAPE,R2,ridge_coef,rf_coef,lgbm_coef,intercept
swh,1,0.02,0.02,0.01,0.02,1.0,0.29,0.35,0.36,0.0
swh,3,0.04,0.06,0.03,0.04,0.99,0.09,0.32,0.59,-0.01
swh,6,0.08,0.11,0.05,0.07,0.96,0.12,0.32,0.57,-0.04
swh,12,0.13,0.19,0.09,0.12,0.86,-0.09,0.08,1.08,-0.17
swh,24,0.23,0.3,0.13,0.24,0.69,0.17,-0.71,1.87,-0.6
swh,48,0.34,0.44,0.2,0.3,0.33,1.4,0.08,0.45,-1.43
mwp,1,0.07,0.09,0.02,0.01,0.99,0.24,0.25,0.51,0.04
mwp,3,0.18,0.23,0.05,0.03,0.94,0.02,0.34,0.63,0.15
mwp,6,0.32,0.41,0.08,0.05,0.82,0.03,0.46,0.49,0.16
mwp,12,0.66,0.84,0.17,0.1,0.23,-0.55,0.08,1.47,-0.03
mwp,24,0.84,1.03,0.21,0.13,-0.13,-0.01,-0.08,1.2,-0.86
mwp,48,0.95,1.19,0.24,0.15,-0.49,1.14,-2.24,0.74,9.63
