,,,MAE_median,MAE_median,RMSE_median,RMSE_median,MeanPinball,MeanPinball,CRPS_approx,CRPS_approx,Cov_80,Cov_80,Width_80,Width_80,Cov_90,Cov_90,Width_90,Width_90,Cov_95,Cov_95,Width_95,Width_95
,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Target,LeadTime,Model,,,,,,,,,,,,,,,,,,,,
mwp,12h,Bootstrap,0.7184125269750239,0.13042166087461227,0.9578861120722627,0.18479392926558277,0.22600043952378437,0.041266896834754666,0.45200087904756875,0.08253379366950933,0.806637911832007,0.04944752910865274,2.4342873044817117,0.401304343319414,0.9077226456617518,0.045940654346870724,3.3207976090011164,0.41834077408937803,0.9565570298193999,0.03394206751366587,4.215789404228852,0.434122570036799
mwp,1h,Bootstrap,0.08260877056463144,0.011065468519779248,0.11804064758010113,0.018205555910503966,0.026684444748645595,0.003824468128050902,0.05336888949729119,0.007648936256101804,0.8104633760074784,0.03557278702429092,0.2605902042757167,0.03034878838370875,0.9023012254425451,0.03947681438210006,0.3777451196077178,0.052321871489727265,0.9485298612194167,0.03206403147389479,0.4994813006231742,0.07155337531358366
mwp,24h,Bootstrap,1.0210942380034442,0.14477207724113036,1.3030544167356013,0.19025930421667475,0.31249605646615614,0.04429029714595227,0.6249921129323123,0.08858059429190454,0.8024982380481546,0.05108154065581104,3.4258754193638246,0.4140124351769332,0.905636627410821,0.04495040838312711,4.643017172196417,0.4559566401765541,0.9556076048637228,0.019439948448740675,5.651569541720125,0.5037120810725316
mwp,3h,Bootstrap,0.2353397460996195,0.04542885168352273,0.32711535480856657,0.07384943101663956,0.07532006415140138,0.015923999002437208,0.15064012830280277,0.031847998004874416,0.8121888414526591,0.041434280624164654,0.7590760684401863,0.12670634227490848,0.9111244430661692,0.04319164027321122,1.0933959184849047,0.14162128445751188,0.9519172730541504,0.04111046364773178,1.4243617598851668,0.21072665552742967
mwp,48h,Bootstrap,1.207243111384891,0.22199326789528678,1.4692267234348286,0.2302012529590572,0.36278135817706375,0.052035189900513,0.7255627163541275,0.104070379801026,0.7926389955623826,0.08848340058201122,4.018098532788904,0.6931759079463496,0.9094480713432326,0.046567823708505734,5.118682074847717,0.5087479493987267,0.9515163637139444,0.041818370751245344,5.864399043586459,0.6045449386816445
mwp,6h,Bootstrap,0.4422464039562599,0.09126680374218303,0.5930380174244944,0.12925471932661595,0.139327883285333,0.029126239815264923,0.278655766570666,0.058252479630529846,0.8002819317691235,0.055641075740944144,1.43542479219533,0.2659398132842527,0.9064091003785028,0.04360449356719787,2.033358220666926,0.3169888315536245,0.9532923518869914,0.03215658584927972,2.624559678264326,0.34017198179983954
swh,12h,Bootstrap,0.28355616912318454,0.14327088711625902,0.3854222492429951,0.17798342915368753,0.089524285805147,0.043058267881515566,0.179048571610294,0.08611653576303113,0.8347060494357516,0.09074891556026399,0.9995561362135256,0.3579765746450256,0.9255128192611107,0.05741264121741349,1.3703000939133798,0.45856477590078487,0.960903034517373,0.03284131869192385,1.7487301594991866,0.6193884615317233
swh,1h,Bootstrap,0.030503831315337543,0.014737307810242144,0.04434965557165396,0.02181243888622867,0.01003694330321017,0.0049595076686453745,0.02007388660642034,0.009919015337290749,0.8294712091059223,0.10215354763690998,0.10615135656883996,0.040653656445605924,0.9183747444583789,0.06372213465912438,0.15353669498942812,0.06038069954087877,0.9586549153424911,0.032215373092111046,0.20762462069688203,0.09329820254759318
swh,24h,Bootstrap,0.439938076230509,0.20049835751330694,0.567875621606963,0.2476387613636089,0.13423055821240434,0.056471821428428416,0.2684611164248087,0.11294364285685683,0.8277031247241203,0.0997661597317268,1.5447307339194216,0.43760408720291905,0.9258786217490332,0.03409054878598421,2.0247808867806865,0.61460544555128,0.9660257612809059,0.01806357915110303,2.4146266364530837,0.7893105012441948
swh,3h,Bootstrap,0.08394919539409773,0.03761599264060193,0.12234520191100995,0.05517207916970812,0.027523420908474382,0.012326847668965392,0.055046841816948765,0.024653695337930784,0.8424930715788962,0.0629861944380747,0.3050036866888626,0.11449451105625959,0.919326512210589,0.05132386087555163,0.43866864987194304,0.16089154550657347,0.9627138513433898,0.028864180843996074,0.5713599978746741,0.21079936918468897
swh,48h,Bootstrap,0.6055779522521051,0.2225764128690321,0.7319133214024807,0.27390729929178065,0.17801958878412638,0.06171776950913234,0.35603917756825276,0.12343553901826468,0.7649876258747227,0.10630782986862639,1.9723136416737803,0.6397559051257827,0.8868754266939751,0.07852645095416583,2.5413001903008863,0.8731196169498626,0.946964605734767,0.0387626447717669,2.9447301414682383,1.0750822897020262
swh,6h,Bootstrap,0.1571042585398134,0.07386651963722703,0.22062183882805,0.0965784812742045,0.050924428768825296,0.023204585737129326,0.10184885753765059,0.04640917147425865,0.8402890726182947,0.0794829704781098,0.5858918922517231,0.22620154676573484,0.9207588187604792,0.05581878681054691,0.8146080679666715,0.2863534170466479,0.964049903115368,0.02590514655030075,1.0611996652038747,0.3879472501896932
